latex;natural language
z \ge 6;z is greater or equal to six
z \ge 7;z is greater or equal to seven
z \ge 8;z is greater or equal to eight
z \ge 9;z is greater or equal to nine
z \ge x;z is greater or equal to x
z \ge y;z is greater or equal to y
z \ge z;z is greater or equal to z
0 \le 0;zero is less or equal to zero
0 \le 1;zero is less or equal to one
0 \le 2;zero is less or equal to two
0 \le 3;zero is less or equal to three
0 \le 4;zero is less or equal to four
0 \le 5;zero is less or equal to five
0 \le 6;zero is less or equal to six
0 \le 7;zero is less or equal to seven
0 \le 8;zero is less or equal to eight
0 \le 9;zero is less or equal to nine
0 \le x;zero is less or equal to x
0 \le y;zero is less or equal to y
0 \le z;zero is less or equal to z
1 \le 0;one is less or equal to zero
1 \le 1;one is less or equal to one
1 \le 2;one is less or equal to two
1 \le 3;one is less or equal to three
1 \le 4;one is less or equal to four
1 \le 5;one is less or equal to five
1 \le 6;one is less or equal to six
1 \le 7;one is less or equal to seven
1 \le 8;one is less or equal to eight
1 \le 9;one is less or equal to nine
1 \le x;one is less or equal to x
1 \le y;one is less or equal to y
1 \le z;one is less or equal to z
2 \le 0;two is less or equal to zero
2 \le 1;two is less or equal to one
2 \le 2;two is less or equal to two
2 \le 3;two is less or equal to three
2 \le 4;two is less or equal to four
2 \le 5;two is less or equal to five
2 \le 6;two is less or equal to six
2 \le 7;two is less or equal to seven
2 \le 8;two is less or equal to eight
2 \le 9;two is less or equal to nine
2 \le x;two is less or equal to x
2 \le y;two is less or equal to y
2 \le z;two is less or equal to z
3 \le 0;three is less or equal to zero
3 \le 1;three is less or equal to one
3 \le 2;three is less or equal to two
3 \le 3;three is less or equal to three
3 \le 4;three is less or equal to four
3 \le 5;three is less or equal to five
3 \le 6;three is less or equal to six
3 \le 7;three is less or equal to seven
3 \le 8;three is less or equal to eight
3 \le 9;three is less or equal to nine
3 \le x;three is less or equal to x
3 \le y;three is less or equal to y
3 \le z;three is less or equal to z
4 \le 0;four is less or equal to zero
4 \le 1;four is less or equal to one
4 \le 2;four is less or equal to two
4 \le 3;four is less or equal to three
4 \le 4;four is less or equal to four
4 \le 5;four is less or equal to five
4 \le 6;four is less or equal to six
4 \le 7;four is less or equal to seven
4 \le 8;four is less or equal to eight
4 \le 9;four is less or equal to nine
4 \le x;four is less or equal to x
4 \le y;four is less or equal to y
4 \le z;four is less or equal to z
5 \le 0;five is less or equal to zero
5 \le 1;five is less or equal to one
5 \le 2;five is less or equal to two
5 \le 3;five is less or equal to three
5 \le 4;five is less or equal to four
5 \le 5;five is less or equal to five
5 \le 6;five is less or equal to six
5 \le 7;five is less or equal to seven
5 \le 8;five is less or equal to eight
5 \le 9;five is less or equal to nine
5 \le x;five is less or equal to x
5 \le y;five is less or equal to y
5 \le z;five is less or equal to z
6 \le 0;six is less or equal to zero
6 \le 1;six is less or equal to one
6 \le 2;six is less or equal to two
6 \le 3;six is less or equal to three
6 \le 4;six is less or equal to four
6 \le 5;six is less or equal to five
6 \le 6;six is less or equal to six
6 \le 7;six is less or equal to seven
6 \le 8;six is less or equal to eight
6 \le 9;six is less or equal to nine
6 \le x;six is less or equal to x
6 \le y;six is less or equal to y
6 \le z;six is less or equal to z
7 \le 0;seven is less or equal to zero
7 \le 1;seven is less or equal to one
7 \le 2;seven is less or equal to two
7 \le 3;seven is less or equal to three
7 \le 4;seven is less or equal to four
7 \le 5;seven is less or equal to five
7 \le 6;seven is less or equal to six
7 \le 7;seven is less or equal to seven
7 \le 8;seven is less or equal to eight
7 \le 9;seven is less or equal to nine
7 \le x;seven is less or equal to x
7 \le y;seven is less or equal to y
7 \le z;seven is less or equal to z
8 \le 0;eight is less or equal to zero
8 \le 1;eight is less or equal to one
8 \le 2;eight is less or equal to two
8 \le 3;eight is less or equal to three
8 \le 4;eight is less or equal to four
8 \le 5;eight is less or equal to five
8 \le 6;eight is less or equal to six
8 \le 7;eight is less or equal to seven
8 \le 8;eight is less or equal to eight
8 \le 9;eight is less or equal to nine
8 \le x;eight is less or equal to x
8 \le y;eight is less or equal to y
8 \le z;eight is less or equal to z
9 \le 0;nine is less or equal to zero
9 \le 1;nine is less or equal to one
9 \le 2;nine is less or equal to two
9 \le 3;nine is less or equal to three
9 \le 4;nine is less or equal to four
9 \le 5;nine is less or equal to five
9 \le 6;nine is less or equal to six
9 \le 7;nine is less or equal to seven
9 \le 8;nine is less or equal to eight
9 \le 9;nine is less or equal to nine
9 \le x;nine is less or equal to x
9 \le y;nine is less or equal to y
9 \le z;nine is less or equal to z
x \le 0;x is less or equal to zero
x \le 1;x is less or equal to one
x \le 2;x is less or equal to two
x \le 3;x is less or equal to three
x \le 4;x is less or equal to four
x \le 5;x is less or equal to five
x \le 6;x is less or equal to six
x \le 7;x is less or equal to seven
x \le 8;x is less or equal to eight
x \le 9;x is less or equal to nine
x \le x;x is less or equal to x
x \le y;x is less or equal to y
x \le z;x is less or equal to z
y \le 0;y is less or equal to zero
y \le 1;y is less or equal to one
y \le 2;y is less or equal to two
y \le 3;y is less or equal to three
y \le 4;y is less or equal to four
y \le 5;y is less or equal to five
y \le 6;y is less or equal to six
y \le 7;y is less or equal to seven
y \le 8;y is less or equal to eight
y \le 9;y is less or equal to nine
y \le x;y is less or equal to x
y \le y;y is less or equal to y
y \le z;y is less or equal to z
z \le 0;z is less or equal to zero
z \le 1;z is less or equal to one
z \le 2;z is less or equal to two
z \le 3;z is less or equal to three
z \le 4;z is less or equal to four
z \le 5;z is less or equal to five
z \le 6;z is less or equal to six
z \le 7;z is less or equal to seven
z \le 8;z is less or equal to eight
z \le 9;z is less or equal to nine
z \le x;z is less or equal to x
z \le y;z is less or equal to y
z \le z;z is less or equal to z
